file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\MYPC\Aircraft-Modelling-System-master\Aircraft-Modelling-System-master\src\aircraftdecoration\Parkable.java,aircraftdecoration.Parkable,interface,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
C:\Users\MYPC\Aircraft-Modelling-System-master\Aircraft-Modelling-System-master\test\aircraftdecoration\AircraftKidsDecorationTest.java,aircraftdecoration.AircraftKidsDecorationTest,class,4,4,0,4,2,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,3,0,4,0,3,0,0,0,0,50,1,0
C:\Users\MYPC\Aircraft-Modelling-System-master\Aircraft-Modelling-System-master\src\aircraftdecoration\Aircraft.java,aircraftdecoration.Aircraft,interface,2,12,10,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0
C:\Users\MYPC\Aircraft-Modelling-System-master\Aircraft-Modelling-System-master\src\aircraftdecoration\CheckClass.java,aircraftdecoration.CheckClass,class,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
C:\Users\MYPC\Aircraft-Modelling-System-master\Aircraft-Modelling-System-master\test\aircraftdecoration\AircraftBarDecorationTest.java,aircraftdecoration.AircraftBarDecorationTest,class,4,4,0,4,2,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,5,0,4,2,3,0,0,0,0,50,1,0
C:\Users\MYPC\Aircraft-Modelling-System-master\Aircraft-Modelling-System-master\src\aircraftdecoration\AircraftBarDecoration.java,aircraftdecoration.AircraftBarDecoration,class,2,4,2,2,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1,1,0,0,1,0,0,0,0,0,51,1,0
C:\Users\MYPC\Aircraft-Modelling-System-master\Aircraft-Modelling-System-master\src\aircraftdecoration\AircraftDecorator.java,aircraftdecoration.AircraftDecorator,class,1,3,2,1,3,1,2,1,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,12,2,0,0,0,0,0,0,1,0,1,0,0,0,0,70,1025,0
C:\Users\MYPC\Aircraft-Modelling-System-master\Aircraft-Modelling-System-master\test\aircraftdecoration\StandardAircraftTest.java,aircraftdecoration.StandardAircraftTest,class,3,3,0,3,2,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,3,0,4,0,4,0,0,0,0,40,1,0
C:\Users\MYPC\Aircraft-Modelling-System-master\Aircraft-Modelling-System-master\src\aircraftdecoration\AircraftKidsDecoration.java,aircraftdecoration.AircraftKidsDecoration,class,2,4,2,2,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1,1,0,0,1,0,0,0,0,0,52,1,0
C:\Users\MYPC\Aircraft-Modelling-System-master\Aircraft-Modelling-System-master\src\aircraftdecoration\DriverClass.java,aircraftdecoration.DriverClass,class,5,5,0,5,1,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,18,0,6,4,2,0,0,0,0,71,1,0
C:\Users\MYPC\Aircraft-Modelling-System-master\Aircraft-Modelling-System-master\src\aircraftdecoration\LuxuryAircraft.java,aircraftdecoration.LuxuryAircraft,class,2,4,2,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,1,1,0,0,0,0,0,0,0,0,62,1,0
C:\Users\MYPC\Aircraft-Modelling-System-master\Aircraft-Modelling-System-master\src\aircraftdecoration\StandardAircraft.java,aircraftdecoration.StandardAircraft,class,2,7,5,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,1,1,0,0,0,0,0,0,0,0,62,1,0
