file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\MYPC\Aircraft-Modelling-System-master\Aircraft-Modelling-System-master\test\aircraftdecoration\AircraftKidsDecorationTest.java,aircraftdecoration.AircraftKidsDecorationTest,testRemove/0,false,49,4,3,0,3,1,3,6,0,2,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,35,1,0,true
C:\Users\MYPC\Aircraft-Modelling-System-master\Aircraft-Modelling-System-master\test\aircraftdecoration\AircraftKidsDecorationTest.java,aircraftdecoration.AircraftKidsDecorationTest,testCreateAircraft/0,false,33,4,3,0,3,1,3,6,0,1,0,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,32,1,0,true
C:\Users\MYPC\Aircraft-Modelling-System-master\Aircraft-Modelling-System-master\src\aircraftdecoration\Aircraft.java,aircraftdecoration.Aircraft,removeExtension/0,false,35,1,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,true
C:\Users\MYPC\Aircraft-Modelling-System-master\Aircraft-Modelling-System-master\src\aircraftdecoration\Aircraft.java,aircraftdecoration.Aircraft,createAircraft/0,false,26,0,4,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,true
C:\Users\MYPC\Aircraft-Modelling-System-master\Aircraft-Modelling-System-master\test\aircraftdecoration\AircraftBarDecorationTest.java,aircraftdecoration.AircraftBarDecorationTest,testRemove/0,false,51,4,3,0,3,1,3,6,0,2,0,3,0,0,0,0,0,0,2,0,2,1,0,0,0,0,35,1,0,true
C:\Users\MYPC\Aircraft-Modelling-System-master\Aircraft-Modelling-System-master\test\aircraftdecoration\AircraftBarDecorationTest.java,aircraftdecoration.AircraftBarDecorationTest,testCreateAircraft/0,false,34,4,3,0,3,1,3,6,0,1,0,3,0,0,0,0,0,0,3,0,2,1,0,0,0,0,32,1,0,true
C:\Users\MYPC\Aircraft-Modelling-System-master\Aircraft-Modelling-System-master\src\aircraftdecoration\AircraftBarDecoration.java,aircraftdecoration.AircraftBarDecoration,createAircraft/0,false,44,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,36,1,0,true
C:\Users\MYPC\Aircraft-Modelling-System-master\Aircraft-Modelling-System-master\src\aircraftdecoration\AircraftBarDecoration.java,aircraftdecoration.AircraftBarDecoration,AircraftBarDecoration/1[aircraftdecoration.Aircraft],true,30,1,3,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,true
C:\Users\MYPC\Aircraft-Modelling-System-master\Aircraft-Modelling-System-master\src\aircraftdecoration\AircraftDecorator.java,aircraftdecoration.AircraftDecorator,createAircraft/0,false,53,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0,true
C:\Users\MYPC\Aircraft-Modelling-System-master\Aircraft-Modelling-System-master\src\aircraftdecoration\AircraftDecorator.java,aircraftdecoration.AircraftDecorator,AircraftDecorator/1[aircraftdecoration.Aircraft],true,38,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,1,0,true
