file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\MYPC\ApiTestWithKibanaLiveReportingFramework-master\ApiTestWithKibanaLiveReportingFramework-master\src\main\java\com\Tests\ApiTest\BaseConfiguration.java,com.Tests.ApiTest.BaseConfiguration,class,7,9,2,7,5,1,2,10,1,0.5,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,2,0,2,0,0,0,2,0,1,21,1,0,1,1,0,2,0,4,1,4,1,0,0,0,30,1,0
C:\Users\MYPC\ApiTestWithKibanaLiveReportingFramework-master\ApiTestWithKibanaLiveReportingFramework-master\src\main\java\com\Tests\ApiTest\SampleApi.java,com.Tests.ApiTest.SampleApi,class,7,7,0,7,2,2,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,3,0,3,0,0,0,0,20,1,0
C:\Users\MYPC\ApiTestWithKibanaLiveReportingFramework-master\ApiTestWithKibanaLiveReportingFramework-master\src\main\java\com\DataObjects\PermanentAddress.java,com.DataObjects.PermanentAddress,class,0,1,1,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,1,0
C:\Users\MYPC\ApiTestWithKibanaLiveReportingFramework-master\ApiTestWithKibanaLiveReportingFramework-master\src\main\java\com\Utilities\ConfigParser.java,com.Utilities.ConfigParser,class,2,4,2,2,3,1,0,3,0,0.375,NaN,NaN,2,1,1,1,0,0,1,0,0,0,4,1,3,1,0,0,0,0,0,21,2,0,1,0,0,9,0,4,0,4,1,0,0,0,10,1,0
C:\Users\MYPC\ApiTestWithKibanaLiveReportingFramework-master\ApiTestWithKibanaLiveReportingFramework-master\src\main\java\com\Utilities\ExecutionListener.java,com.Utilities.ExecutionListener,class,5,5,0,5,8,1,0,11,28,0.875,0.0,0.0,8,0,7,1,0,0,7,0,0,0,1,0,0,1,0,0,0,0,2,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,1,0
C:\Users\MYPC\ApiTestWithKibanaLiveReportingFramework-master\ApiTestWithKibanaLiveReportingFramework-master\src\main\java\com\Utilities\ResultSender.java,com.Utilities.ResultSender,class,2,3,1,2,2,1,0,6,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,4,4,0,4,0,0,4,0,0,14,0,0,0,1,0,3,0,4,0,4,1,0,0,0,28,1,0
C:\Users\MYPC\ApiTestWithKibanaLiveReportingFramework-master\ApiTestWithKibanaLiveReportingFramework-master\src\main\java\com\DataObjects\SampleObject.java,com.DataObjects.SampleObject,class,1,1,0,1,8,1,0,0,20,0.75,0.14285715,0.14285715,8,0,8,0,0,0,8,0,0,0,4,0,0,4,0,0,0,0,0,30,4,0,0,0,0,0,0,4,0,4,0,0,0,0,12,1,0
C:\Users\MYPC\ApiTestWithKibanaLiveReportingFramework-master\ApiTestWithKibanaLiveReportingFramework-master\src\main\java\com\Utilities\DataPool.java,com.Utilities.DataPool,class,3,7,4,3,6,1,0,0,8,0.8,0.2,0.2,5,1,5,0,0,0,5,0,0,0,4,1,0,4,0,0,0,0,0,24,3,0,1,0,0,0,0,4,0,4,1,0,0,0,17,1,0
C:\Users\MYPC\ApiTestWithKibanaLiveReportingFramework-master\ApiTestWithKibanaLiveReportingFramework-master\src\main\java\com\Utilities\TestStatus.java,com.Utilities.TestStatus,class,1,3,2,1,4,1,0,0,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,18,0,0,0,0,0,4,0,4,0,4,0,0,0,0,12,1,0
C:\Users\MYPC\ApiTestWithKibanaLiveReportingFramework-master\ApiTestWithKibanaLiveReportingFramework-master\src\main\java\com\Tests\ApiTest\SampleTest2.java,com.Tests.ApiTest.SampleTest2,class,4,4,0,4,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,1,0,1,0,0,0,0,16,1,0
C:\Users\MYPC\ApiTestWithKibanaLiveReportingFramework-master\ApiTestWithKibanaLiveReportingFramework-master\src\main\java\com\Utilities\DataLoader.java,com.Utilities.DataLoader,class,3,6,3,3,13,1,0,8,66,0.8461538,0.07692308,0.07692308,13,0,13,0,0,0,13,0,0,0,6,0,0,6,0,0,0,0,0,56,6,0,0,0,2,7,2,10,0,8,0,0,0,0,28,1,0
C:\Users\MYPC\ApiTestWithKibanaLiveReportingFramework-master\ApiTestWithKibanaLiveReportingFramework-master\src\main\java\com\Utilities\Helper.java,com.Utilities.Helper,class,7,9,2,7,10,1,0,27,6,0.875,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,2,55,2,2,2,1,0,10,3,20,0,19,3,0,0,2,53,1,0
