file,class,method,variable,usage
C:\Users\MYPC\ApiTestWithKibanaLiveReportingFramework-master\ApiTestWithKibanaLiveReportingFramework-master\src\main\java\com\Tests\ApiTest\BaseConfiguration.java,com.Tests.ApiTest.BaseConfiguration,userTestDataProvider/1[java.lang.reflect.Method],testJson,1
C:\Users\MYPC\ApiTestWithKibanaLiveReportingFramework-master\ApiTestWithKibanaLiveReportingFramework-master\src\main\java\com\Tests\ApiTest\BaseConfiguration.java,com.Tests.ApiTest.BaseConfiguration,userTestDataProvider/1[java.lang.reflect.Method],m,1
C:\Users\MYPC\ApiTestWithKibanaLiveReportingFramework-master\ApiTestWithKibanaLiveReportingFramework-master\src\main\java\com\Tests\ApiTest\BaseConfiguration.java,com.Tests.ApiTest.BaseConfiguration,userTestDataProvider/1[java.lang.reflect.Method],testDataKey,1
C:\Users\MYPC\ApiTestWithKibanaLiveReportingFramework-master\ApiTestWithKibanaLiveReportingFramework-master\src\main\java\com\Tests\ApiTest\BaseConfiguration.java,com.Tests.ApiTest.BaseConfiguration,loadData/0,e,1
C:\Users\MYPC\ApiTestWithKibanaLiveReportingFramework-master\ApiTestWithKibanaLiveReportingFramework-master\src\main\java\com\Tests\ApiTest\BaseConfiguration.java,com.Tests.ApiTest.BaseConfiguration,createFailedCaseList/1[com.Tests.ApiTest.ITestResult],test,1
C:\Users\MYPC\ApiTestWithKibanaLiveReportingFramework-master\ApiTestWithKibanaLiveReportingFramework-master\src\main\java\com\Tests\ApiTest\SampleApi.java,com.Tests.ApiTest.SampleApi,usertest/1[com.Tests.ApiTest.JSONArray],dataLoader,0
C:\Users\MYPC\ApiTestWithKibanaLiveReportingFramework-master\ApiTestWithKibanaLiveReportingFramework-master\src\main\java\com\Tests\ApiTest\SampleApi.java,com.Tests.ApiTest.SampleApi,usertest/1[com.Tests.ApiTest.JSONArray],testData,1
C:\Users\MYPC\ApiTestWithKibanaLiveReportingFramework-master\ApiTestWithKibanaLiveReportingFramework-master\src\main\java\com\Tests\ApiTest\SampleApi.java,com.Tests.ApiTest.SampleApi,authTest/1[com.Tests.ApiTest.JSONArray],dataLoader,3
C:\Users\MYPC\ApiTestWithKibanaLiveReportingFramework-master\ApiTestWithKibanaLiveReportingFramework-master\src\main\java\com\Tests\ApiTest\SampleApi.java,com.Tests.ApiTest.SampleApi,authTest/1[com.Tests.ApiTest.JSONArray],testData,1
C:\Users\MYPC\ApiTestWithKibanaLiveReportingFramework-master\ApiTestWithKibanaLiveReportingFramework-master\src\main\java\com\Tests\ApiTest\SampleApi.java,com.Tests.ApiTest.SampleApi,authTest/1[com.Tests.ApiTest.JSONArray],response,2
