file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\MYPC\Auction-master\Auction-master\src\auctionPackage\OnlineBidder.java,auctionPackage.OnlineBidder,class,1,2,1,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7,1,0
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderSelection.java,sample.BidderSelection,class,15,17,2,15,4,1,0,14,6,0.9166667,0.0,0.0,4,0,3,1,0,0,3,0,0,0,3,0,0,0,0,3,0,0,2,40,0,0,0,0,2,3,0,14,0,16,0,0,0,0,39,1,0
C:\Users\MYPC\Auction-master\Auction-master\src\sample\Main.java,sample.Main,class,4,4,0,4,2,2,0,8,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,1,0,1,0,0,0,0,14,1,0
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderController.java,sample.BidderController,class,11,12,1,11,6,1,0,12,7,0.72222227,0.26666668,0.26666668,6,0,6,0,0,0,6,0,0,0,3,0,0,0,0,3,0,0,3,29,1,0,0,0,2,1,0,5,0,7,0,0,0,0,35,1,0
C:\Users\MYPC\Auction-master\Auction-master\src\auctionPackage\Auction.java,auctionPackage.Auction,class,4,9,5,4,8,1,0,8,0,0.5,0.6666667,1.0,4,4,4,0,0,0,4,0,0,0,3,3,3,0,0,0,0,0,2,24,0,2,1,0,0,1,1,5,0,4,2,0,0,0,19,1,0
C:\Users\MYPC\Auction-master\Auction-master\src\auctionPackage\IObserver.java,auctionPackage.IObserver,interface,0,5,5,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\Users\MYPC\Auction-master\Auction-master\src\sample\Controller.java,sample.Controller,class,11,12,1,11,4,1,0,13,4,0.75,0.16666667,0.16666667,4,0,4,0,0,0,4,0,0,0,2,0,0,0,0,2,0,0,2,28,0,0,0,0,2,2,0,8,0,10,0,0,0,0,38,1,0
C:\Users\MYPC\Auction-master\Auction-master\src\sample\RaiseBid1.java,sample.RaiseBid1,class,9,9,0,9,2,1,0,12,0,0.33333334,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,3,0,0,2,16,0,0,0,0,1,1,0,4,0,6,1,0,0,0,22,1,0
C:\Users\MYPC\Auction-master\Auction-master\src\auctionPackage\NormalBidder.java,auctionPackage.NormalBidder,class,1,2,1,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7,1,0
C:\Users\MYPC\Auction-master\Auction-master\src\sample\RaiseBid.java,sample.RaiseBid,class,9,9,0,9,2,1,0,12,0,0.33333334,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,3,0,0,2,16,0,0,0,0,1,1,0,4,0,6,1,0,0,0,22,1,0
