file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\MYPC\Auction-master\Auction-master\src\auctionPackage\OnlineBidder.java,auctionPackage.OnlineBidder,getNotification/0,false,11,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,false
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderSelection.java,sample.BidderSelection,addNormalBidder/1[sample.ActionEvent],false,69,8,3,0,3,1,10,10,0,4,1,10,1,1,0,0,0,1,1,0,4,0,0,0,0,0,19,1,0,false
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderSelection.java,sample.BidderSelection,openWindow/1[auctionPackage.IObserver],false,30,6,3,2,1,1,9,12,0,5,1,9,0,0,0,0,0,0,1,0,5,0,0,0,0,0,23,2,0,false
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderSelection.java,sample.BidderSelection,addOnlineBidder/1[sample.ActionEvent],false,54,8,3,0,3,1,10,10,0,4,1,10,1,1,0,0,0,1,1,0,4,0,0,0,0,0,19,1,0,false
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderSelection.java,sample.BidderSelection,setController/1[sample.Controller],false,25,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\MYPC\Auction-master\Auction-master\src\sample\Main.java,sample.Main,start/1[sample.Stage],false,13,3,0,0,0,1,7,7,0,1,1,7,0,0,0,0,0,0,2,0,1,0,0,0,0,0,9,1,0,false
C:\Users\MYPC\Auction-master\Auction-master\src\sample\Main.java,sample.Main,main/1[java.lang.String[]],false,24,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderController.java,sample.BidderController,getObserver/0,false,60,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderController.java,sample.BidderController,update/0,false,65,0,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderController.java,sample.BidderController,"initialize/2[java.net.URL,java.util.ResourceBundle]",false,37,0,0,0,0,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
