file,class,method,variable,usage
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderSelection.java,sample.BidderSelection,addNormalBidder/1[sample.ActionEvent],normalBidder,2
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderSelection.java,sample.BidderSelection,addNormalBidder/1[sample.ActionEvent],e,1
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderSelection.java,sample.BidderSelection,addNormalBidder/1[sample.ActionEvent],root,1
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderSelection.java,sample.BidderSelection,addNormalBidder/1[sample.ActionEvent],window,2
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderSelection.java,sample.BidderSelection,addNormalBidder/1[sample.ActionEvent],scene,1
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderSelection.java,sample.BidderSelection,openWindow/1[auctionPackage.IObserver],observer,1
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderSelection.java,sample.BidderSelection,openWindow/1[auctionPackage.IObserver],stage,3
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderSelection.java,sample.BidderSelection,openWindow/1[auctionPackage.IObserver],bidderController,1
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderSelection.java,sample.BidderSelection,openWindow/1[auctionPackage.IObserver],loader,3
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderSelection.java,sample.BidderSelection,openWindow/1[auctionPackage.IObserver],root,1
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderSelection.java,sample.BidderSelection,openWindow/1[auctionPackage.IObserver],scene,1
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderSelection.java,sample.BidderSelection,addOnlineBidder/1[sample.ActionEvent],onlineBidder,2
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderSelection.java,sample.BidderSelection,addOnlineBidder/1[sample.ActionEvent],e,1
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderSelection.java,sample.BidderSelection,addOnlineBidder/1[sample.ActionEvent],root,1
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderSelection.java,sample.BidderSelection,addOnlineBidder/1[sample.ActionEvent],window,2
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderSelection.java,sample.BidderSelection,addOnlineBidder/1[sample.ActionEvent],scene,1
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderSelection.java,sample.BidderSelection,setController/1[sample.Controller],controller,2
C:\Users\MYPC\Auction-master\Auction-master\src\sample\Main.java,sample.Main,start/1[sample.Stage],primaryStage,4
C:\Users\MYPC\Auction-master\Auction-master\src\sample\Main.java,sample.Main,start/1[sample.Stage],root,1
C:\Users\MYPC\Auction-master\Auction-master\src\sample\Main.java,sample.Main,main/1[java.lang.String[]],args,1
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderController.java,sample.BidderController,"initialize/2[java.net.URL,java.util.ResourceBundle]",resources,0
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderController.java,sample.BidderController,"initialize/2[java.net.URL,java.util.ResourceBundle]",location,0
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderController.java,sample.BidderController,raiseBid/1[sample.ActionEvent],e,1
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderController.java,sample.BidderController,raiseBid/1[sample.ActionEvent],root,1
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderController.java,sample.BidderController,raiseBid/1[sample.ActionEvent],window,2
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderController.java,sample.BidderController,raiseBid/1[sample.ActionEvent],scene,1
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderController.java,sample.BidderController,setObserver/1[auctionPackage.IObserver],observer,2
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderController.java,sample.BidderController,unsubscribe/1[sample.ActionEvent],e,1
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderController.java,sample.BidderController,unsubscribe/1[sample.ActionEvent],window,1
C:\Users\MYPC\Auction-master\Auction-master\src\auctionPackage\Auction.java,auctionPackage.Auction,subscribe/1[auctionPackage.IObserver],observer,1
