file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\BillService.java,ServiceFiles.BillService,class,2,3,1,2,3,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16,2,0,0,1,0,5,1,3,1,3,2,0,0,0,23,1,0
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\AdmindeleteDoctorHandler.java,Servlets.AdmindeleteDoctorHandler,class,5,5,0,5,3,2,0,3,1,1.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,1,0,1,0,0,1,0,0,11,0,0,0,0,0,3,1,3,0,3,1,0,0,0,23,1,0
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\AdmindeleteDoctorService.java,ServiceFiles.AdmindeleteDoctorService,class,1,2,1,1,2,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,16,2,0,0,1,0,3,0,3,1,3,1,0,0,0,31,1,0
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\UserpassRestService.java,ServiceFiles.UserpassRestService,class,2,3,1,2,3,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16,2,0,0,1,0,3,1,3,1,3,2,0,0,0,23,1,0
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\DoctorUpdateServiceFiles.java,ServiceFiles.DoctorUpdateServiceFiles,class,2,3,1,2,3,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16,2,0,0,1,0,7,1,3,1,3,2,0,0,0,23,1,0
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Appointment.java,Entities.Appointment,class,0,4,4,0,14,1,0,0,77,0.85714287,0.07692308,0.07692308,14,0,14,0,0,0,14,0,0,0,7,0,0,0,0,7,0,0,0,51,7,0,0,0,0,0,0,7,0,7,0,0,0,0,23,1,0
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\UserAppoinDeleteHandler.java,Servlets.UserAppoinDeleteHandler,class,5,5,0,5,3,2,0,3,1,1.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,1,0,1,0,0,1,0,0,11,0,0,0,0,0,3,1,3,0,3,1,0,0,0,26,1,0
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\AdminAppointDeleteHandler.java,Servlets.AdminAppointDeleteHandler,class,5,5,0,5,3,2,0,3,1,1.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,1,0,1,0,0,1,0,0,11,0,0,0,0,0,3,1,3,0,3,1,0,0,0,25,1,0
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Feedback.java,Entities.Feedback,class,0,2,2,0,8,1,0,0,20,0.75,0.14285715,0.14285715,8,0,8,0,0,0,8,0,0,0,4,0,0,0,0,4,0,0,0,30,4,0,0,0,0,0,0,4,0,4,0,0,0,0,16,1,0
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\DoctorPwdResetService.java,ServiceFiles.DoctorPwdResetService,class,3,4,1,3,3,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16,2,0,0,1,0,4,1,3,1,3,2,0,0,0,25,1,0
