file,class,method,variable,usage
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Appointment.java,Entities.Appointment,getdepartment/0,department,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Appointment.java,Entities.Appointment,getdoctor/0,doctor,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Appointment.java,Entities.Appointment,setId/1[int],Id,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Appointment.java,Entities.Appointment,getid/0,Id,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Appointment.java,Entities.Appointment,gettime/0,time,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Appointment.java,Entities.Appointment,setdepartment/1[java.lang.String],department,3
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Appointment.java,Entities.Appointment,setdate/1[java.lang.String],date,3
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Appointment.java,Entities.Appointment,settime/1[java.lang.String],time,3
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Appointment.java,Entities.Appointment,setdoctor/1[java.lang.String],doctor,3
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Appointment.java,Entities.Appointment,getfees/0,fees,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Appointment.java,Entities.Appointment,setfees/1[java.lang.String],fees,3
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Appointment.java,Entities.Appointment,getemail/0,email,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Appointment.java,Entities.Appointment,setemail/1[java.lang.String],email,3
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Appointment.java,Entities.Appointment,getdate/0,date,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Feedback.java,Entities.Feedback,setphone/1[int],phone,3
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Feedback.java,Entities.Feedback,setmessage/1[java.lang.String],messages,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Feedback.java,Entities.Feedback,setname/1[java.lang.String],name,3
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Feedback.java,Entities.Feedback,setemail/1[java.lang.String],email,3
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Feedback.java,Entities.Feedback,getmessages/0,messages,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Feedback.java,Entities.Feedback,getname/0,name,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Feedback.java,Entities.Feedback,getemail/0,email,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Feedback.java,Entities.Feedback,getphonenumber/0,phone,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Login.java,Entities.Login,setUsername/1[java.lang.String],username,3
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Login.java,Entities.Login,setPassword/1[java.lang.String],password,3
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Login.java,Entities.Login,getPassword/0,password,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Login.java,Entities.Login,getUsername/0,username,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\connection\ConnectionProvider.java,connection.ConnectionProvider,getDBConnection/0,connection,4
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\connection\ConnectionProvider.java,connection.ConnectionProvider,getInstance/0,CPIsntance,3
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Doctor.java,Entities.Doctor,getfname/0,fname,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Doctor.java,Entities.Doctor,getpay/0,pay,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Doctor.java,Entities.Doctor,setlname/1[java.lang.String],lname,3
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Doctor.java,Entities.Doctor,getage/0,age,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Doctor.java,Entities.Doctor,setage/1[java.lang.String],age,3
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Doctor.java,Entities.Doctor,setpay/1[java.lang.String],pay,3
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Doctor.java,Entities.Doctor,getId/0,id,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Doctor.java,Entities.Doctor,setpassword/1[java.lang.String],password,3
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Doctor.java,Entities.Doctor,getpassword/0,password,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Doctor.java,Entities.Doctor,setId/1[java.lang.String],id,3
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Doctor.java,Entities.Doctor,getsalary/0,salary,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Doctor.java,Entities.Doctor,getlname/0,lname,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Doctor.java,Entities.Doctor,setfname/1[java.lang.String],fname,3
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Doctor.java,Entities.Doctor,setsalary/1[java.lang.String],salary,3
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Admin.java,Entities.Admin,setusername/1[java.lang.String],username,3
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Admin.java,Entities.Admin,getadminId/0,admin_id,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Admin.java,Entities.Admin,setpassword/1[java.lang.String],password,3
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Admin.java,Entities.Admin,setadminId/1[java.lang.String],admin_id,1
