file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\BillService.java,ServiceFiles.BillService,insertBill/1[Entities.Bill],false,11,2,7,1,6,3,9,14,2,3,1,9,0,0,0,0,1,0,5,1,3,1,2,0,0,0,22,1,0,false
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\AdmindeleteDoctorHandler.java,Servlets.AdmindeleteDoctorHandler,"doGet/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",false,30,3,2,0,2,2,3,5,0,2,2,3,0,0,0,0,0,0,2,0,2,0,1,0,0,0,14,4,0,true
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\AdmindeleteDoctorHandler.java,Servlets.AdmindeleteDoctorHandler,AdmindeleteDoctorHandler/0,true,22,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,true
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\AdmindeleteDoctorService.java,ServiceFiles.AdmindeleteDoctorService,deleteDoctor/1[java.lang.String],false,19,1,3,1,2,2,6,14,2,3,1,6,0,0,0,0,1,0,3,0,3,1,1,0,0,0,27,1,0,false
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\UserpassRestService.java,ServiceFiles.UserpassRestService,UpdateRegisterPass/1[Entities.Register],false,16,2,5,1,4,3,7,14,2,3,1,7,0,0,0,0,1,0,3,1,3,1,2,0,0,0,20,1,0,false
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\DoctorUpdateServiceFiles.java,ServiceFiles.DoctorUpdateServiceFiles,UpdateDoctor/1[Entities.Doctor],false,15,2,9,1,8,3,11,14,2,3,1,11,0,0,0,0,1,0,7,1,3,1,2,0,0,0,19,1,0,false
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Appointment.java,Entities.Appointment,getdepartment/0,false,20,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Appointment.java,Entities.Appointment,getdoctor/0,false,26,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Appointment.java,Entities.Appointment,setId/1[int],false,17,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Appointment.java,Entities.Appointment,getid/0,false,13,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
