file,class,method,variable,usage
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\BillService.java,ServiceFiles.BillService,insertBill/1[Entities.Bill],st,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\BillService.java,ServiceFiles.BillService,insertBill/1[Entities.Bill],con,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\BillService.java,ServiceFiles.BillService,insertBill/1[Entities.Bill],e,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\BillService.java,ServiceFiles.BillService,insertBill/1[Entities.Bill],bill,4
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\BillService.java,ServiceFiles.BillService,insertBill/1[Entities.Bill],i,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\AdmindeleteDoctorHandler.java,Servlets.AdmindeleteDoctorHandler,"doGet/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",doctor,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\AdmindeleteDoctorHandler.java,Servlets.AdmindeleteDoctorHandler,"doGet/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",request,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\AdmindeleteDoctorHandler.java,Servlets.AdmindeleteDoctorHandler,"doGet/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",response,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\AdmindeleteDoctorHandler.java,Servlets.AdmindeleteDoctorHandler,"doGet/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",del,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\AdmindeleteDoctorService.java,ServiceFiles.AdmindeleteDoctorService,deleteDoctor/1[java.lang.String],doctor,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\AdmindeleteDoctorService.java,ServiceFiles.AdmindeleteDoctorService,deleteDoctor/1[java.lang.String],e,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\AdmindeleteDoctorService.java,ServiceFiles.AdmindeleteDoctorService,deleteDoctor/1[java.lang.String],query,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\AdmindeleteDoctorService.java,ServiceFiles.AdmindeleteDoctorService,deleteDoctor/1[java.lang.String],myStm,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\AdmindeleteDoctorService.java,ServiceFiles.AdmindeleteDoctorService,deleteDoctor/1[java.lang.String],myCon,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\UserpassRestService.java,ServiceFiles.UserpassRestService,UpdateRegisterPass/1[Entities.Register],st,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\UserpassRestService.java,ServiceFiles.UserpassRestService,UpdateRegisterPass/1[Entities.Register],con,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\UserpassRestService.java,ServiceFiles.UserpassRestService,UpdateRegisterPass/1[Entities.Register],reg,2
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\UserpassRestService.java,ServiceFiles.UserpassRestService,UpdateRegisterPass/1[Entities.Register],e,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\UserpassRestService.java,ServiceFiles.UserpassRestService,UpdateRegisterPass/1[Entities.Register],i,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\DoctorUpdateServiceFiles.java,ServiceFiles.DoctorUpdateServiceFiles,UpdateDoctor/1[Entities.Doctor],st,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\DoctorUpdateServiceFiles.java,ServiceFiles.DoctorUpdateServiceFiles,UpdateDoctor/1[Entities.Doctor],con,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\DoctorUpdateServiceFiles.java,ServiceFiles.DoctorUpdateServiceFiles,UpdateDoctor/1[Entities.Doctor],e,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\DoctorUpdateServiceFiles.java,ServiceFiles.DoctorUpdateServiceFiles,UpdateDoctor/1[Entities.Doctor],doc,6
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\DoctorUpdateServiceFiles.java,ServiceFiles.DoctorUpdateServiceFiles,UpdateDoctor/1[Entities.Doctor],i,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Appointment.java,Entities.Appointment,setId/1[int],id,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Appointment.java,Entities.Appointment,setdepartment/1[java.lang.String],department,2
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Appointment.java,Entities.Appointment,setdate/1[java.lang.String],date,2
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Appointment.java,Entities.Appointment,settime/1[java.lang.String],time,2
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Appointment.java,Entities.Appointment,setdoctor/1[java.lang.String],doctor,2
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Appointment.java,Entities.Appointment,setfees/1[java.lang.String],fees,2
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Appointment.java,Entities.Appointment,setemail/1[java.lang.String],email,2
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\UserAppoinDeleteHandler.java,Servlets.UserAppoinDeleteHandler,"doGet/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",request,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\UserAppoinDeleteHandler.java,Servlets.UserAppoinDeleteHandler,"doGet/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",UserName,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\UserAppoinDeleteHandler.java,Servlets.UserAppoinDeleteHandler,"doGet/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",ad,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\UserAppoinDeleteHandler.java,Servlets.UserAppoinDeleteHandler,"doGet/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",response,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\AdminAppointDeleteHandler.java,Servlets.AdminAppointDeleteHandler,"doGet/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",request,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\AdminAppointDeleteHandler.java,Servlets.AdminAppointDeleteHandler,"doGet/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",UserName,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\AdminAppointDeleteHandler.java,Servlets.AdminAppointDeleteHandler,"doGet/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",ad,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\AdminAppointDeleteHandler.java,Servlets.AdminAppointDeleteHandler,"doGet/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",response,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Feedback.java,Entities.Feedback,setphone/1[int],phone,2
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Feedback.java,Entities.Feedback,setmessage/1[java.lang.String],message,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Feedback.java,Entities.Feedback,setname/1[java.lang.String],name,2
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Entities\Feedback.java,Entities.Feedback,setemail/1[java.lang.String],email,2
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\DoctorPwdResetService.java,ServiceFiles.DoctorPwdResetService,UpdateDoctorPass/1[Entities.Doctor],st,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\DoctorPwdResetService.java,ServiceFiles.DoctorPwdResetService,UpdateDoctorPass/1[Entities.Doctor],con,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\DoctorPwdResetService.java,ServiceFiles.DoctorPwdResetService,UpdateDoctorPass/1[Entities.Doctor],e,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\DoctorPwdResetService.java,ServiceFiles.DoctorPwdResetService,UpdateDoctorPass/1[Entities.Doctor],doc,2
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\DoctorPwdResetService.java,ServiceFiles.DoctorPwdResetService,UpdateDoctorPass/1[Entities.Doctor],i,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\DoctorLoginHandler.java,Servlets.DoctorLoginHandler,"doPost/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",request,4
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\DoctorLoginHandler.java,Servlets.DoctorLoginHandler,"doPost/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",fname,2
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\DoctorLoginHandler.java,Servlets.DoctorLoginHandler,"doPost/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",password,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\DoctorLoginHandler.java,Servlets.DoctorLoginHandler,"doPost/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",regsv,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\DoctorLoginHandler.java,Servlets.DoctorLoginHandler,"doPost/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",s,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\DoctorLoginHandler.java,Servlets.DoctorLoginHandler,"doPost/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",response,2
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\DoctorLoginHandler.java,Servlets.DoctorLoginHandler,"doPost/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",session,3
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\DoctorLoginHandler.java,Servlets.DoctorLoginHandler,"doPost/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",login,4
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\DoctorLoginHandler.java,Servlets.DoctorLoginHandler,"doPost/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",username,2
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\LoginService.java,ServiceFiles.LoginService,checkLogin/1[Entities.Login],result,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\LoginService.java,ServiceFiles.LoginService,checkLogin/1[Entities.Login],st,4
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\LoginService.java,ServiceFiles.LoginService,checkLogin/1[Entities.Login],con,3
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\LoginService.java,ServiceFiles.LoginService,checkLogin/1[Entities.Login],log,3
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\LoginService.java,ServiceFiles.LoginService,checkLogin/1[Entities.Login],e,3
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\LoginService.java,ServiceFiles.LoginService,checkLogin/1[Entities.Login],query,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\DoctorUpdateHandler.java,Servlets.DoctorUpdateHandler,"doPost/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",doctor,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\DoctorUpdateHandler.java,Servlets.DoctorUpdateHandler,"doPost/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",request,6
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\DoctorUpdateHandler.java,Servlets.DoctorUpdateHandler,"doPost/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",fname,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\DoctorUpdateHandler.java,Servlets.DoctorUpdateHandler,"doPost/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",lname,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\DoctorUpdateHandler.java,Servlets.DoctorUpdateHandler,"doPost/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",regsv,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\DoctorUpdateHandler.java,Servlets.DoctorUpdateHandler,"doPost/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",doct,7
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\DoctorUpdateHandler.java,Servlets.DoctorUpdateHandler,"doPost/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",response,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\DoctorUpdateHandler.java,Servlets.DoctorUpdateHandler,"doPost/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",pay,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\DoctorUpdateHandler.java,Servlets.DoctorUpdateHandler,"doPost/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",salary,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\Servlets\DoctorUpdateHandler.java,Servlets.DoctorUpdateHandler,"doPost/2[Servlets.HttpServletRequest,Servlets.HttpServletResponse]",age,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\AdminloginService.java,ServiceFiles.AdminloginService,checkLoginAdmin/1[Entities.Login],result,1
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\AdminloginService.java,ServiceFiles.AdminloginService,checkLoginAdmin/1[Entities.Login],st,4
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\AdminloginService.java,ServiceFiles.AdminloginService,checkLoginAdmin/1[Entities.Login],con,3
C:\Users\MYPC\Hospitality-Management-----Web-Based-Application-master\Hospitality-Management-----Web-Based-Application-master\src\ServiceFiles\AdminloginService.java,ServiceFiles.AdminloginService,checkLoginAdmin/1[Entities.Login],log,3
