file,class,method,variable,usage
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\model\ItemModel.java,edu.ijse.absd.onlnecmpshp.model.ItemModel,getQtyOnHand/0,qtyOnHand,1
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\model\ItemModel.java,edu.ijse.absd.onlnecmpshp.model.ItemModel,getUnitPrice/0,unitPrice,1
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\model\ItemModel.java,edu.ijse.absd.onlnecmpshp.model.ItemModel,setQtyOnHand/1[int],qtyOnHand,3
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\model\ItemModel.java,edu.ijse.absd.onlnecmpshp.model.ItemModel,getItemCode/0,itemCode,1
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\model\ItemModel.java,edu.ijse.absd.onlnecmpshp.model.ItemModel,setDesc/1[java.lang.String],desc,3
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\model\ItemModel.java,edu.ijse.absd.onlnecmpshp.model.ItemModel,setItemCode/1[java.lang.String],itemCode,3
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\model\ItemModel.java,edu.ijse.absd.onlnecmpshp.model.ItemModel,"ItemModel/4[java.lang.String,java.lang.String,int,double]",unitPrice,3
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\model\ItemModel.java,edu.ijse.absd.onlnecmpshp.model.ItemModel,"ItemModel/4[java.lang.String,java.lang.String,int,double]",itemCode,3
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\model\ItemModel.java,edu.ijse.absd.onlnecmpshp.model.ItemModel,"ItemModel/4[java.lang.String,java.lang.String,int,double]",qtyOnHand,3
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\model\ItemModel.java,edu.ijse.absd.onlnecmpshp.model.ItemModel,"ItemModel/4[java.lang.String,java.lang.String,int,double]",desc,3
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\model\ItemModel.java,edu.ijse.absd.onlnecmpshp.model.ItemModel,getDesc/0,desc,1
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\model\ItemModel.java,edu.ijse.absd.onlnecmpshp.model.ItemModel,setUnitPrice/1[double],unitPrice,3
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\service\ServiceFactory.java,edu.ijse.absd.onlnecmpshp.service.ServiceFactory,getServiceFactory/0,serviceFactory,3
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\conn\ResourceFactory.java,edu.ijse.absd.onlnecmpshp.conn.ResourceFactory,getResourceConnection/0,resourceConnection,3
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\model\UserModel.java,edu.ijse.absd.onlnecmpshp.model.UserModel,getPassword/0,password,1
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\model\UserModel.java,edu.ijse.absd.onlnecmpshp.model.UserModel,getMobile/0,mobile,1
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\model\UserModel.java,edu.ijse.absd.onlnecmpshp.model.UserModel,"UserModel/3[java.lang.String,java.lang.String,java.lang.String]",password,3
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\model\UserModel.java,edu.ijse.absd.onlnecmpshp.model.UserModel,"UserModel/3[java.lang.String,java.lang.String,java.lang.String]",mobile,3
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\model\UserModel.java,edu.ijse.absd.onlnecmpshp.model.UserModel,"UserModel/3[java.lang.String,java.lang.String,java.lang.String]",username,3
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\model\UserModel.java,edu.ijse.absd.onlnecmpshp.model.UserModel,setMobile/1[java.lang.String],mobile,3
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\model\UserModel.java,edu.ijse.absd.onlnecmpshp.model.UserModel,setUsername/1[java.lang.String],username,3
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\model\UserModel.java,edu.ijse.absd.onlnecmpshp.model.UserModel,setPassword/1[java.lang.String],password,3
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\model\UserModel.java,edu.ijse.absd.onlnecmpshp.model.UserModel,getUsername/0,username,1
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\dto\ItemDto.java,edu.ijse.absd.onlnecmpshp.dto.ItemDto,setQtyOnHand/1[int],qtyOnHand,3
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\dto\ItemDto.java,edu.ijse.absd.onlnecmpshp.dto.ItemDto,getUnitPrice/0,unitPrice,1
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\dto\ItemDto.java,edu.ijse.absd.onlnecmpshp.dto.ItemDto,"ItemDto/4[java.lang.String,java.lang.String,int,double]",unitPrice,3
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\dto\ItemDto.java,edu.ijse.absd.onlnecmpshp.dto.ItemDto,"ItemDto/4[java.lang.String,java.lang.String,int,double]",itemCode,3
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\dto\ItemDto.java,edu.ijse.absd.onlnecmpshp.dto.ItemDto,"ItemDto/4[java.lang.String,java.lang.String,int,double]",qtyOnHand,3
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\dto\ItemDto.java,edu.ijse.absd.onlnecmpshp.dto.ItemDto,"ItemDto/4[java.lang.String,java.lang.String,int,double]",desc,3
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\dto\ItemDto.java,edu.ijse.absd.onlnecmpshp.dto.ItemDto,getItemCode/0,itemCode,1
