file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\dao\SuperDao.java,edu.ijse.absd.onlnecmpshp.dao.SuperDao,insert/1[T],false,19,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\dao\SuperDao.java,edu.ijse.absd.onlnecmpshp.dao.SuperDao,update/1[T],false,21,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\dao\SuperDao.java,edu.ijse.absd.onlnecmpshp.dao.SuperDao,delete/1[T],false,23,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\dao\SuperDao.java,edu.ijse.absd.onlnecmpshp.dao.SuperDao,selectAll/0,false,25,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\controller\PurchaseController.java,edu.ijse.absd.onlnecmpshp.controller.PurchaseController,"doGet/2[edu.ijse.absd.onlnecmpshp.controller.HttpServletRequest,edu.ijse.absd.onlnecmpshp.controller.HttpServletResponse]",false,75,3,1,0,1,1,1,3,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,4,0,true
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\controller\PurchaseController.java,edu.ijse.absd.onlnecmpshp.controller.PurchaseController,getServletInfo/0,false,99,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1,0,true
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\controller\PurchaseController.java,edu.ijse.absd.onlnecmpshp.controller.PurchaseController,"doPost/2[edu.ijse.absd.onlnecmpshp.controller.HttpServletRequest,edu.ijse.absd.onlnecmpshp.controller.HttpServletResponse]",false,89,3,1,0,1,1,1,3,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,4,0,true
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\controller\PurchaseController.java,edu.ijse.absd.onlnecmpshp.controller.PurchaseController,"processRequest/2[edu.ijse.absd.onlnecmpshp.controller.HttpServletRequest,edu.ijse.absd.onlnecmpshp.controller.HttpServletResponse]",false,38,5,5,2,3,4,14,24,1,4,2,14,0,0,0,2,1,1,12,1,4,3,2,0,0,0,48,4,0,true
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\controller\UserController.java,edu.ijse.absd.onlnecmpshp.controller.UserController,getServletInfo/0,false,125,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1,0,true
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\controller\UserController.java,edu.ijse.absd.onlnecmpshp.controller.UserController,"doPost/2[edu.ijse.absd.onlnecmpshp.controller.HttpServletRequest,edu.ijse.absd.onlnecmpshp.controller.HttpServletResponse]",false,115,3,1,0,1,1,1,3,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,4,0,true
