file,class,method,variable,usage
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\dao\SuperDao.java,edu.ijse.absd.onlnecmpshp.dao.SuperDao,insert/1[T],t,0
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\dao\SuperDao.java,edu.ijse.absd.onlnecmpshp.dao.SuperDao,update/1[T],t,0
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\dao\SuperDao.java,edu.ijse.absd.onlnecmpshp.dao.SuperDao,delete/1[T],t,0
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\controller\PurchaseController.java,edu.ijse.absd.onlnecmpshp.controller.PurchaseController,"doGet/2[edu.ijse.absd.onlnecmpshp.controller.HttpServletRequest,edu.ijse.absd.onlnecmpshp.controller.HttpServletResponse]",request,1
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\controller\PurchaseController.java,edu.ijse.absd.onlnecmpshp.controller.PurchaseController,"doGet/2[edu.ijse.absd.onlnecmpshp.controller.HttpServletRequest,edu.ijse.absd.onlnecmpshp.controller.HttpServletResponse]",response,1
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\controller\PurchaseController.java,edu.ijse.absd.onlnecmpshp.controller.PurchaseController,"doPost/2[edu.ijse.absd.onlnecmpshp.controller.HttpServletRequest,edu.ijse.absd.onlnecmpshp.controller.HttpServletResponse]",request,1
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\controller\PurchaseController.java,edu.ijse.absd.onlnecmpshp.controller.PurchaseController,"doPost/2[edu.ijse.absd.onlnecmpshp.controller.HttpServletRequest,edu.ijse.absd.onlnecmpshp.controller.HttpServletResponse]",response,1
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\controller\PurchaseController.java,edu.ijse.absd.onlnecmpshp.controller.PurchaseController,"processRequest/2[edu.ijse.absd.onlnecmpshp.controller.HttpServletRequest,edu.ijse.absd.onlnecmpshp.controller.HttpServletResponse]",request,3
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\controller\PurchaseController.java,edu.ijse.absd.onlnecmpshp.controller.PurchaseController,"processRequest/2[edu.ijse.absd.onlnecmpshp.controller.HttpServletRequest,edu.ijse.absd.onlnecmpshp.controller.HttpServletResponse]",customerService,1
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\controller\PurchaseController.java,edu.ijse.absd.onlnecmpshp.controller.PurchaseController,"processRequest/2[edu.ijse.absd.onlnecmpshp.controller.HttpServletRequest,edu.ijse.absd.onlnecmpshp.controller.HttpServletResponse]",response,2
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\controller\PurchaseController.java,edu.ijse.absd.onlnecmpshp.controller.PurchaseController,"processRequest/2[edu.ijse.absd.onlnecmpshp.controller.HttpServletRequest,edu.ijse.absd.onlnecmpshp.controller.HttpServletResponse]",purchaseGoods,3
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\controller\PurchaseController.java,edu.ijse.absd.onlnecmpshp.controller.PurchaseController,"processRequest/2[edu.ijse.absd.onlnecmpshp.controller.HttpServletRequest,edu.ijse.absd.onlnecmpshp.controller.HttpServletResponse]",cart,6
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\controller\PurchaseController.java,edu.ijse.absd.onlnecmpshp.controller.PurchaseController,"processRequest/2[edu.ijse.absd.onlnecmpshp.controller.HttpServletRequest,edu.ijse.absd.onlnecmpshp.controller.HttpServletResponse]",out,7
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\controller\UserController.java,edu.ijse.absd.onlnecmpshp.controller.UserController,"doPost/2[edu.ijse.absd.onlnecmpshp.controller.HttpServletRequest,edu.ijse.absd.onlnecmpshp.controller.HttpServletResponse]",request,1
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\controller\UserController.java,edu.ijse.absd.onlnecmpshp.controller.UserController,"doPost/2[edu.ijse.absd.onlnecmpshp.controller.HttpServletRequest,edu.ijse.absd.onlnecmpshp.controller.HttpServletResponse]",response,1
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\controller\UserController.java,edu.ijse.absd.onlnecmpshp.controller.UserController,"processRequest/2[edu.ijse.absd.onlnecmpshp.controller.HttpServletRequest,edu.ijse.absd.onlnecmpshp.controller.HttpServletResponse]",request,13
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\controller\UserController.java,edu.ijse.absd.onlnecmpshp.controller.UserController,"processRequest/2[edu.ijse.absd.onlnecmpshp.controller.HttpServletRequest,edu.ijse.absd.onlnecmpshp.controller.HttpServletResponse]",res,4
C:\Users\MYPC\OnlineComputerShop-master\OnlineComputerShop-master\src\java\edu\ijse\absd\onlnecmpshp\controller\UserController.java,edu.ijse.absd.onlnecmpshp.controller.UserController,"processRequest/2[edu.ijse.absd.onlnecmpshp.controller.HttpServletRequest,edu.ijse.absd.onlnecmpshp.controller.HttpServletResponse]",requestDispatcher,1
