file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\OrderedProductBLL.java,bll.OrderedProductBLL,class,4,5,1,4,6,1,0,6,4,0.5,0.16666667,0.16666667,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,3,24,2,1,0,0,0,1,0,3,0,2,1,0,0,0,24,1,0
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,class,0,7,7,0,11,1,0,0,0,0.5681818,0.5272727,1.0,11,0,11,0,0,0,11,0,0,0,4,0,0,4,0,0,0,0,0,46,5,0,0,0,0,5,0,11,1,4,0,0,0,0,13,1,0
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\OpProduct.java,presentation.OpProduct$Anonymous3,anonymous,2,2,0,2,1,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,1,0,8,1,8,0,0,0,0,12,-1,0
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\demo\Demo.java,demo.Demo,class,9,10,1,9,16,1,0,29,10,0.8,0.0,0.0,5,5,5,0,0,0,5,0,0,0,1,1,0,0,1,0,1,0,5,106,0,10,0,1,0,23,10,29,4,19,1,0,0,0,60,1,0
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\OpProduct.java,presentation.OpProduct$Anonymous4,anonymous,2,2,0,2,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,1,0,3,0,3,0,0,0,0,9,-1,0
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,class,3,5,2,3,12,1,0,26,0,0.6666667,1.0,1.0,5,5,5,0,0,0,5,0,0,0,6,6,0,5,1,0,6,0,18,122,4,1,0,5,0,18,12,40,6,31,2,0,0,0,52,1,0
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\validare\EmailValidation.java,bll.validare.EmailValidation,class,2,3,1,2,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,2,10,0,0,0,0,0,3,0,2,0,2,1,0,0,0,26,1,0
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ClientBLL.java,bll.ClientBLL,class,5,13,8,5,14,1,0,15,15,0.5714286,0.14285715,0.14285715,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,5,63,4,5,1,0,0,7,7,18,1,11,1,0,0,0,48,1,0
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\OrderBLL.java,bll.OrderBLL,class,3,5,2,3,5,1,0,4,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,2,20,2,1,0,0,0,1,0,3,0,2,1,0,0,0,18,1,0
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Order.java,model.Order,class,0,4,4,0,9,1,0,0,0,0.48148146,0.6111111,1.0,9,0,9,0,0,0,9,0,0,0,3,0,0,3,0,0,0,0,0,37,4,0,0,0,0,4,0,8,1,3,0,0,0,0,11,1,0
