file,class,method,variable,usage
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\OrderedProductBLL.java,bll.OrderedProductBLL,insertOrderedProduct/1[model.OrderedProduct],validators,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\OrderedProductBLL.java,bll.OrderedProductBLL,OrderedProductBLL/0,validators,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,"Client/4[int,java.lang.String,java.lang.String,java.lang.String]",adresa,3
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,"Client/4[int,java.lang.String,java.lang.String,java.lang.String]",id,3
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,"Client/4[int,java.lang.String,java.lang.String,java.lang.String]",nume,3
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,"Client/4[int,java.lang.String,java.lang.String,java.lang.String]",email,3
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,setNume/1[java.lang.String],nume,3
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,setEmail/1[java.lang.String],email,3
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,getId/0,id,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,"Client/3[java.lang.String,java.lang.String,java.lang.String]",adresa,3
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,"Client/3[java.lang.String,java.lang.String,java.lang.String]",nume,3
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,"Client/3[java.lang.String,java.lang.String,java.lang.String]",email,3
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,getNume/0,nume,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,getAdresa/0,adresa,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,setAdresa/1[java.lang.String],adresa,3
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,getEmail/0,email,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,setId/1[int],id,3
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,toString/0,adresa,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,toString/0,id,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,toString/0,nume,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,toString/0,email,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\demo\Demo.java,demo.Demo,main/1[java.lang.String[]],LOGGER,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,insert/1[model.Client],insertStatementString,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,insert/1[model.Client],LOGGER,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,findById/1[int],findStatementString,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,findById/1[int],LOGGER,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,findAll/0,findAllStatementString,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,findAll/0,LOGGER,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,update/1[model.Client],updateStatementString,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,update/1[model.Client],LOGGER,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,delete/1[int],deleteStatementString,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,delete/1[int],LOGGER,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\validare\EmailValidation.java,bll.validare.EmailValidation,validate/1[model.Client],EMAIL_PATTERN,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ClientBLL.java,bll.ClientBLL,insertClient/1[model.Client],validators,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ClientBLL.java,bll.ClientBLL,updateClient/1[model.Client],validators,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ClientBLL.java,bll.ClientBLL,ClientBLL/0,validators,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\OrderBLL.java,bll.OrderBLL,insertOrder/1[model.Order],validators,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\OrderBLL.java,bll.OrderBLL,OrderBLL/0,validators,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Order.java,model.Order,"Order/2[int,int]",totalComenzi,3
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Order.java,model.Order,"Order/2[int,int]",idClient,3
