file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\OrderedProductBLL.java,bll.OrderedProductBLL,findAllOrderedProducts/0,false,19,2,2,1,1,2,2,8,1,1,0,2,0,0,0,0,0,0,1,0,2,0,1,0,0,0,13,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\OrderedProductBLL.java,bll.OrderedProductBLL,insertOrderedProduct/1[model.OrderedProduct],false,28,3,3,1,2,2,2,6,1,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\OrderedProductBLL.java,bll.OrderedProductBLL,deleteOrderedProduct/1[int],false,38,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\OrderedProductBLL.java,bll.OrderedProductBLL,OrderedProductBLL/0,true,14,3,2,1,1,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,"Client/4[int,java.lang.String,java.lang.String,java.lang.String]",true,9,0,1,1,0,1,0,7,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,setNume/1[java.lang.String],false,36,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,setEmail/1[java.lang.String],false,52,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,getId/0,false,24,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,"Client/3[java.lang.String,java.lang.String,java.lang.String]",true,17,0,3,3,0,1,0,6,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,getNume/0,false,32,0,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,getAdresa/0,false,40,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,setAdresa/1[java.lang.String],false,44,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,getEmail/0,false,48,0,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,setId/1[int],false,28,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,toString/0,false,57,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,6,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\OpProduct.java,presentation.OpProduct$Anonymous3,actionPerformed/1[java.awt.event.ActionEvent],false,157,2,27,0,27,1,10,16,0,8,1,10,0,0,0,0,0,0,1,0,8,1,0,0,0,0,12,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\demo\Demo.java,demo.Demo,testOrderedProduct/0,false,123,2,6,1,5,3,4,17,0,3,0,4,0,0,2,0,0,0,3,3,5,0,1,0,0,0,11,9,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\demo\Demo.java,demo.Demo,main/1[java.lang.String[]],false,147,1,4,0,4,2,6,11,0,0,1,6,4,1,0,0,1,0,0,0,0,0,1,0,0,0,7,9,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\demo\Demo.java,demo.Demo,testProduct/0,false,68,2,10,1,9,4,8,29,0,6,0,8,0,0,3,0,0,0,7,4,9,2,1,0,0,0,19,9,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\demo\Demo.java,demo.Demo,testClient/0,false,31,2,10,1,9,4,8,29,0,6,0,8,0,0,3,0,0,0,10,1,9,2,1,0,0,0,19,9,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\demo\Demo.java,demo.Demo,testOrder/0,false,102,2,6,1,5,3,4,17,0,3,0,4,0,0,2,0,0,0,3,2,5,0,1,0,0,0,10,9,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\OpProduct.java,presentation.OpProduct$Anonymous4,actionPerformed/1[java.awt.event.ActionEvent],false,188,2,27,0,27,1,6,8,0,3,1,6,0,0,0,0,0,0,1,0,3,0,0,0,0,0,9,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,insert/1[model.Client],false,99,2,7,1,6,3,14,24,1,4,1,14,0,0,0,0,1,0,1,5,6,1,2,0,0,0,18,9,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,findById/1[int],false,31,2,7,1,6,2,12,26,1,7,1,12,0,0,0,0,1,0,4,1,10,1,1,0,0,0,24,9,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,findAll/0,false,66,2,6,1,5,3,12,27,1,9,0,12,0,0,1,0,1,0,5,0,11,1,2,0,0,0,23,9,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,update/1[model.Client],false,152,2,8,1,7,2,13,21,1,3,1,13,0,0,0,0,1,0,1,5,4,1,1,0,0,0,16,9,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,delete/1[int],false,133,1,4,1,3,2,8,16,0,2,1,8,0,0,0,0,1,0,1,1,3,1,1,0,0,0,14,9,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\validare\EmailValidation.java,bll.validare.EmailValidation,validate/1[model.Client],false,13,1,1,0,1,2,5,7,0,1,1,5,0,0,0,0,0,0,2,0,1,0,1,0,0,0,24,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ClientBLL.java,bll.ClientBLL,deleteClient/1[int],false,64,1,3,2,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ClientBLL.java,bll.ClientBLL,findAllClients/0,false,37,2,3,2,1,2,2,8,1,1,0,2,0,0,0,0,0,0,1,0,2,0,1,0,0,0,11,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ClientBLL.java,bll.ClientBLL,insertClient/1[model.Client],false,46,3,4,2,2,2,2,6,1,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ClientBLL.java,bll.ClientBLL,findClientById/1[int],false,28,2,3,2,1,2,1,7,1,1,1,1,0,0,0,1,0,0,2,0,1,1,1,0,0,0,16,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ClientBLL.java,bll.ClientBLL,updateClient/1[model.Client],false,54,3,4,2,2,2,2,6,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ClientBLL.java,bll.ClientBLL,createTable/0,false,69,2,7,2,5,4,7,26,1,8,0,7,1,1,3,0,0,0,4,7,14,0,1,0,0,0,17,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ClientBLL.java,bll.ClientBLL,ClientBLL/0,true,23,3,2,1,1,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\OrderBLL.java,bll.OrderBLL,findAllOrders/0,false,18,2,2,1,1,2,2,8,1,1,0,2,0,0,0,0,0,0,1,0,2,0,1,0,0,0,11,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\OrderBLL.java,bll.OrderBLL,insertOrder/1[model.Order],false,27,3,4,2,2,2,2,6,1,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\OrderBLL.java,bll.OrderBLL,OrderBLL/0,true,13,2,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Order.java,model.Order,"Order/2[int,int]",true,13,0,2,2,0,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Order.java,model.Order,setId/1[int],false,21,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Order.java,model.Order,getId/0,false,18,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Order.java,model.Order,setTotalComenzi/1[int],false,33,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Order.java,model.Order,"Order/3[int,int,int]",true,7,0,1,1,0,1,0,6,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Order.java,model.Order,getTotalComenzi/0,false,30,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Order.java,model.Order,getIdClient/0,false,24,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Order.java,model.Order,setIdClient/1[int],false,27,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Order.java,model.Order,toString/0,false,37,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,6,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\View.java,presentation.View,View/0,true,40,0,2,1,1,1,8,48,0,4,0,8,0,0,0,0,0,0,3,14,5,0,0,3,0,0,38,1,0,true
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\View.java,presentation.View,main/1[java.lang.String[]],false,23,0,1,0,1,1,1,15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,9,0,true
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\OpClient.java,presentation.OpClient,OpClient/0,true,58,1,4,2,2,1,11,112,0,3,0,11,0,0,0,0,0,0,7,44,16,0,0,3,0,0,54,1,0,true
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\OpClient.java,presentation.OpClient,main/1[java.lang.String[]],false,42,0,1,0,1,1,1,14,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,9,0,true
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ProductBLL.java,bll.ProductBLL,insertProduct/1[model.Product],false,41,3,4,2,2,2,2,6,1,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ProductBLL.java,bll.ProductBLL,findAllProducts/0,false,32,2,3,2,1,2,2,8,1,1,0,2,0,0,0,0,0,0,1,0,2,0,1,0,0,0,11,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ProductBLL.java,bll.ProductBLL,createTable/0,false,65,2,7,2,5,4,7,24,1,7,0,7,1,1,3,0,0,0,4,7,12,0,1,0,0,0,14,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ProductBLL.java,bll.ProductBLL,findProductById/1[int],false,23,2,3,2,1,2,1,7,1,1,1,1,0,0,0,1,0,0,2,0,1,1,1,0,0,0,16,1,0,false
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ProductBLL.java,bll.ProductBLL,updateProduct/1[model.Product],false,49,3,4,2,2,2,2,6,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,1,0,false
