file,class,method,variable,usage
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\OrderedProductBLL.java,bll.OrderedProductBLL,findAllOrderedProducts/0,products,3
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\OrderedProductBLL.java,bll.OrderedProductBLL,insertOrderedProduct/1[model.OrderedProduct],product,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\OrderedProductBLL.java,bll.OrderedProductBLL,insertOrderedProduct/1[model.OrderedProduct],v,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\OrderedProductBLL.java,bll.OrderedProductBLL,deleteOrderedProduct/1[int],productId,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,"Client/4[int,java.lang.String,java.lang.String,java.lang.String]",adresa,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,"Client/4[int,java.lang.String,java.lang.String,java.lang.String]",id,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,"Client/4[int,java.lang.String,java.lang.String,java.lang.String]",nume,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,"Client/4[int,java.lang.String,java.lang.String,java.lang.String]",email,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,setNume/1[java.lang.String],nume,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,setEmail/1[java.lang.String],email,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,"Client/3[java.lang.String,java.lang.String,java.lang.String]",adresa,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,"Client/3[java.lang.String,java.lang.String,java.lang.String]",nume,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,"Client/3[java.lang.String,java.lang.String,java.lang.String]",email,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,setAdresa/1[java.lang.String],adresa,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Client.java,model.Client,setId/1[int],id,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\OpProduct.java,presentation.OpProduct$Anonymous3,actionPerformed/1[java.awt.event.ActionEvent],p,5
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\OpProduct.java,presentation.OpProduct$Anonymous3,actionPerformed/1[java.awt.event.ActionEvent],stocString,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\OpProduct.java,presentation.OpProduct$Anonymous3,actionPerformed/1[java.awt.event.ActionEvent],stoc,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\OpProduct.java,presentation.OpProduct$Anonymous3,actionPerformed/1[java.awt.event.ActionEvent],denumire,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\OpProduct.java,presentation.OpProduct$Anonymous3,actionPerformed/1[java.awt.event.ActionEvent],e,0
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\OpProduct.java,presentation.OpProduct$Anonymous3,actionPerformed/1[java.awt.event.ActionEvent],pret,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\OpProduct.java,presentation.OpProduct$Anonymous3,actionPerformed/1[java.awt.event.ActionEvent],idString,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\OpProduct.java,presentation.OpProduct$Anonymous3,actionPerformed/1[java.awt.event.ActionEvent],id,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\OpProduct.java,presentation.OpProduct$Anonymous3,actionPerformed/1[java.awt.event.ActionEvent],pretString,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\demo\Demo.java,demo.Demo,testOrderedProduct/0,op,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\demo\Demo.java,demo.Demo,testOrderedProduct/0,bll,3
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\demo\Demo.java,demo.Demo,testOrderedProduct/0,orders,4
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\demo\Demo.java,demo.Demo,testOrderedProduct/0,o,3
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\demo\Demo.java,demo.Demo,main/1[java.lang.String[]],args,0
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\demo\Demo.java,demo.Demo,main/1[java.lang.String[]],ex,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\demo\Demo.java,demo.Demo,testProduct/0,p,5
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\demo\Demo.java,demo.Demo,testProduct/0,product,4
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\demo\Demo.java,demo.Demo,testProduct/0,bll,4
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\demo\Demo.java,demo.Demo,testProduct/0,prodBll,3
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\demo\Demo.java,demo.Demo,testProduct/0,id,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\demo\Demo.java,demo.Demo,testProduct/0,products,6
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\demo\Demo.java,demo.Demo,testProduct/0,newProduct,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\demo\Demo.java,demo.Demo,testClient/0,newClient,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\demo\Demo.java,demo.Demo,testClient/0,bll,4
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\demo\Demo.java,demo.Demo,testClient/0,clients,6
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\demo\Demo.java,demo.Demo,testClient/0,c,5
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\demo\Demo.java,demo.Demo,testClient/0,clientBll,3
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\demo\Demo.java,demo.Demo,testClient/0,client,4
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\demo\Demo.java,demo.Demo,testClient/0,id,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\demo\Demo.java,demo.Demo,testOrder/0,bll,3
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\demo\Demo.java,demo.Demo,testOrder/0,orders,4
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\demo\Demo.java,demo.Demo,testOrder/0,newOrder,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\demo\Demo.java,demo.Demo,testOrder/0,o,3
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\OpProduct.java,presentation.OpProduct$Anonymous4,actionPerformed/1[java.awt.event.ActionEvent],p,0
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\OpProduct.java,presentation.OpProduct$Anonymous4,actionPerformed/1[java.awt.event.ActionEvent],e,0
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\OpProduct.java,presentation.OpProduct$Anonymous4,actionPerformed/1[java.awt.event.ActionEvent],idString,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\OpProduct.java,presentation.OpProduct$Anonymous4,actionPerformed/1[java.awt.event.ActionEvent],id,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,insert/1[model.Client],rs,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,insert/1[model.Client],insertStatement,7
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,insert/1[model.Client],e,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,insert/1[model.Client],client,3
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,insert/1[model.Client],dbConnection,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,insert/1[model.Client],insertedId,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,findById/1[int],rs,6
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,findById/1[int],clientId,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,findById/1[int],address,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,findById/1[int],toReturn,3
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,findById/1[int],e,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,findById/1[int],name,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,findById/1[int],findStatement,4
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,findById/1[int],dbConnection,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,findById/1[int],email,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,findAll/0,rs,7
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,findAll/0,clients,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,findAll/0,address,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,findAll/0,findAllStatement,3
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,findAll/0,e,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,findAll/0,name,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,findAll/0,cl,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,findAll/0,dbConnection,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,findAll/0,id,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,findAll/0,email,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,update/1[model.Client],e,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,update/1[model.Client],updateStatement,7
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,update/1[model.Client],updatedId,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,update/1[model.Client],client,4
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,update/1[model.Client],dbConnection,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,delete/1[int],deleteStatement,4
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,delete/1[int],clientId,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,delete/1[int],e,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\dao\ClientDAO.java,dao.ClientDAO,delete/1[int],dbConnection,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\validare\EmailValidation.java,bll.validare.EmailValidation,validate/1[model.Client],t,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\validare\EmailValidation.java,bll.validare.EmailValidation,validate/1[model.Client],pattern,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ClientBLL.java,bll.ClientBLL,deleteClient/1[int],clientId,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ClientBLL.java,bll.ClientBLL,findAllClients/0,clients,3
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ClientBLL.java,bll.ClientBLL,insertClient/1[model.Client],v,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ClientBLL.java,bll.ClientBLL,insertClient/1[model.Client],client,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ClientBLL.java,bll.ClientBLL,findClientById/1[int],cl,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ClientBLL.java,bll.ClientBLL,findClientById/1[int],id,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ClientBLL.java,bll.ClientBLL,updateClient/1[model.Client],v,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ClientBLL.java,bll.ClientBLL,updateClient/1[model.Client],client,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ClientBLL.java,bll.ClientBLL,createTable/0,headers,3
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ClientBLL.java,bll.ClientBLL,createTable/0,clients,3
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ClientBLL.java,bll.ClientBLL,createTable/0,c,4
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ClientBLL.java,bll.ClientBLL,createTable/0,s,3
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ClientBLL.java,bll.ClientBLL,createTable/0,i,5
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ClientBLL.java,bll.ClientBLL,createTable/0,j,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ClientBLL.java,bll.ClientBLL,createTable/0,model,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ClientBLL.java,bll.ClientBLL,createTable/0,jt,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ClientBLL.java,bll.ClientBLL,createTable/0,headtable,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ClientBLL.java,bll.ClientBLL,createTable/0,list,5
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\OrderBLL.java,bll.OrderBLL,findAllOrders/0,orders,3
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\OrderBLL.java,bll.OrderBLL,insertOrder/1[model.Order],v,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\OrderBLL.java,bll.OrderBLL,insertOrder/1[model.Order],order,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Order.java,model.Order,"Order/2[int,int]",totalComenzi,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Order.java,model.Order,"Order/2[int,int]",idClient,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Order.java,model.Order,setId/1[int],id,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Order.java,model.Order,setTotalComenzi/1[int],totalComenzi,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Order.java,model.Order,"Order/3[int,int,int]",totalComenzi,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Order.java,model.Order,"Order/3[int,int,int]",idClient,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Order.java,model.Order,"Order/3[int,int,int]",id,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\model\Order.java,model.Order,setIdClient/1[int],idClient,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\View.java,presentation.View,View/0,btnOperatiiClienti,4
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\View.java,presentation.View,View/0,sl_contentPane,7
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\View.java,presentation.View,View/0,btnCreareComanda,4
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\View.java,presentation.View,View/0,btnOperatiiProduse,6
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\View.java,presentation.View,main/1[java.lang.String[]],args,0
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\OpClient.java,presentation.OpClient,OpClient/0,lblId,8
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\OpClient.java,presentation.OpClient,OpClient/0,scrollPane,4
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\OpClient.java,presentation.OpClient,OpClient/0,sl_contentPane,33
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\OpClient.java,presentation.OpClient,main/1[java.lang.String[]],args,0
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ProductBLL.java,bll.ProductBLL,insertProduct/1[model.Product],product,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ProductBLL.java,bll.ProductBLL,insertProduct/1[model.Product],v,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ProductBLL.java,bll.ProductBLL,findAllProducts/0,products,3
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ProductBLL.java,bll.ProductBLL,createTable/0,p,4
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ProductBLL.java,bll.ProductBLL,createTable/0,headers,3
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ProductBLL.java,bll.ProductBLL,createTable/0,s,3
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ProductBLL.java,bll.ProductBLL,createTable/0,i,5
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ProductBLL.java,bll.ProductBLL,createTable/0,j,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ProductBLL.java,bll.ProductBLL,createTable/0,jt,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ProductBLL.java,bll.ProductBLL,createTable/0,headtable,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ProductBLL.java,bll.ProductBLL,createTable/0,list,5
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ProductBLL.java,bll.ProductBLL,createTable/0,products,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ProductBLL.java,bll.ProductBLL,findProductById/1[int],pr,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ProductBLL.java,bll.ProductBLL,findProductById/1[int],id,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ProductBLL.java,bll.ProductBLL,updateProduct/1[model.Product],product,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ProductBLL.java,bll.ProductBLL,updateProduct/1[model.Product],v,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\bll\ProductBLL.java,bll.ProductBLL,deleteProduct/1[int],productId,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\OpProduct.java,presentation.OpProduct$Anonymous1,run/0,e,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\OpProduct.java,presentation.OpProduct$Anonymous1,run/0,frame,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\OpProduct.java,presentation.OpProduct$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],product,2
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\OpProduct.java,presentation.OpProduct$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],stocString,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\OpProduct.java,presentation.OpProduct$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],stoc,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\OpProduct.java,presentation.OpProduct$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],denumire,1
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\OpProduct.java,presentation.OpProduct$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],e,0
C:\Users\MYPC\Warehouse-Management-master\Warehouse-Management-master\src\presentation\OpProduct.java,presentation.OpProduct$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],pret,1
