file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\custom\ItemBO.java,lk.ijse.dep.Business.custom.ItemBO,interface,2,3,1,2,5,1,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\impl\CustomerBOImpl.java,lk.ijse.dep.Business.impl.CustomerBOImpl,class,13,14,1,13,7,1,0,18,0,0.0,1.0,1.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,2,39,3,1,0,0,1,0,0,5,0,6,2,1,0,0,28,1,0
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\impl\CustomerBOImpl.java,lk.ijse.dep.Business.impl.CustomerBOImpl$Anonymous1,anonymous,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\DAO\CRUDDAO.java,lk.ijse.dep.DAO.CRUDDAO,interface,3,9,6,3,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\DAO\DAO\custom\ItemDao.java,lk.ijse.dep.DAO.DAO.custom.ItemDao,interface,2,3,1,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\DAO\custom\Impl\OrderItemsDAOImpl.java,lk.ijse.dep.DAO.custom.Impl.OrderItemsDAOImpl,class,5,6,1,5,8,1,0,11,0,0.0,1.0,1.0,8,0,8,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,0,29,3,0,0,0,0,3,4,4,0,4,0,0,0,0,43,1,0
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\AppInitializer.java,lk.ijse.dep.AppInitializer,class,6,6,0,6,2,2,0,9,1,0.5,0.0,0.0,2,1,2,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,16,0,0,0,0,0,1,0,3,0,3,0,0,0,0,21,1,0
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\DAO\custom\Impl\ItemDAOImpl.java,lk.ijse.dep.DAO.custom.Impl.ItemDAOImpl,class,4,6,2,4,7,1,0,8,0,0.0,1.0,1.0,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,0,27,3,0,0,0,0,2,1,4,0,4,0,0,0,0,27,1,0
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Controller\OrderItemController.java,lk.ijse.dep.Controller.OrderItemController,class,26,27,1,26,36,1,0,73,0,0.671875,0.61904764,0.71428573,8,0,7,1,0,0,7,0,0,0,16,0,13,3,0,0,0,0,39,340,0,10,8,1,0,25,25,78,14,88,7,5,0,2,145,1,0
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Entities\Customer.java,lk.ijse.dep.Entities.Customer,class,5,10,5,5,11,2,0,0,21,0.6818181,0.3090909,0.5272727,11,0,11,0,0,0,11,0,0,0,4,0,0,4,0,0,0,0,0,40,5,0,0,0,0,5,0,7,2,4,0,0,0,0,18,1,0
