file,class,method,variable,usage
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\impl\CustomerBOImpl.java,lk.ijse.dep.Business.impl.CustomerBOImpl,customerExistsinOrder/1[java.lang.String],customerDAO,1
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\impl\CustomerBOImpl.java,lk.ijse.dep.Business.impl.CustomerBOImpl,customerExistsinOrder/1[java.lang.String],session,2
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\impl\CustomerBOImpl.java,lk.ijse.dep.Business.impl.CustomerBOImpl,updateCustomer/1[lk.ijse.dep.DTO.CustomerDTO],customerDAO,2
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\impl\CustomerBOImpl.java,lk.ijse.dep.Business.impl.CustomerBOImpl,updateCustomer/1[lk.ijse.dep.DTO.CustomerDTO],session,1
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\impl\CustomerBOImpl.java,lk.ijse.dep.Business.impl.CustomerBOImpl,allCustomers/0,customerDAO,2
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\impl\CustomerBOImpl.java,lk.ijse.dep.Business.impl.CustomerBOImpl,allCustomers/0,session,1
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\impl\CustomerBOImpl.java,lk.ijse.dep.Business.impl.CustomerBOImpl,saveCustomer/1[lk.ijse.dep.DTO.CustomerDTO],customerDAO,1
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\impl\CustomerBOImpl.java,lk.ijse.dep.Business.impl.CustomerBOImpl,saveCustomer/1[lk.ijse.dep.DTO.CustomerDTO],session,1
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\impl\CustomerBOImpl.java,lk.ijse.dep.Business.impl.CustomerBOImpl,deleteCustomer/1[java.lang.String],customerDAO,2
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\impl\CustomerBOImpl.java,lk.ijse.dep.Business.impl.CustomerBOImpl,deleteCustomer/1[java.lang.String],session,1
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\DAO\custom\Impl\OrderItemsDAOImpl.java,lk.ijse.dep.DAO.custom.Impl.OrderItemsDAOImpl,update/1[lk.ijse.dep.Entities.OrderItems],session,1
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\DAO\custom\Impl\OrderItemsDAOImpl.java,lk.ijse.dep.DAO.custom.Impl.OrderItemsDAOImpl,find/1[lk.ijse.dep.Entities.OrderItemsPK],session,1
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\DAO\custom\Impl\OrderItemsDAOImpl.java,lk.ijse.dep.DAO.custom.Impl.OrderItemsDAOImpl,save/1[lk.ijse.dep.Entities.OrderItems],session,1
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\DAO\custom\Impl\OrderItemsDAOImpl.java,lk.ijse.dep.DAO.custom.Impl.OrderItemsDAOImpl,getSession/0,session,1
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\DAO\custom\Impl\OrderItemsDAOImpl.java,lk.ijse.dep.DAO.custom.Impl.OrderItemsDAOImpl,"updateQtyOnHand/2[java.lang.String,java.lang.String]",session,1
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\DAO\custom\Impl\OrderItemsDAOImpl.java,lk.ijse.dep.DAO.custom.Impl.OrderItemsDAOImpl,findAll/0,session,1
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\DAO\custom\Impl\OrderItemsDAOImpl.java,lk.ijse.dep.DAO.custom.Impl.OrderItemsDAOImpl,setSession/1[lk.ijse.dep.DAO.custom.Impl.EntityManager],session,3
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\DAO\custom\Impl\OrderItemsDAOImpl.java,lk.ijse.dep.DAO.custom.Impl.OrderItemsDAOImpl,delete/1[lk.ijse.dep.Entities.OrderItemsPK],session,1
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\AppInitializer.java,lk.ijse.dep.AppInitializer,start/1[lk.ijse.dep.Stage],ctx,3
