file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\custom\ItemBO.java,lk.ijse.dep.Business.custom.ItemBO,saveItem/1[lk.ijse.dep.DTO.ItemDTO],false,10,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\custom\ItemBO.java,lk.ijse.dep.Business.custom.ItemBO,deleteItem/1[java.lang.String],false,11,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\custom\ItemBO.java,lk.ijse.dep.Business.custom.ItemBO,updateItem/1[lk.ijse.dep.DTO.ItemDTO],false,13,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\custom\ItemBO.java,lk.ijse.dep.Business.custom.ItemBO,getAllItems/0,false,9,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\custom\ItemBO.java,lk.ijse.dep.Business.custom.ItemBO,itemExistsinOrder/1[java.lang.String],false,12,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\impl\CustomerBOImpl.java,lk.ijse.dep.Business.impl.CustomerBOImpl,customerExistsinOrder/1[java.lang.String],false,58,5,5,0,5,3,5,12,2,2,1,5,0,0,1,0,0,1,0,0,2,0,2,0,0,0,15,1,0,false
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\impl\CustomerBOImpl.java,lk.ijse.dep.Business.impl.CustomerBOImpl,updateCustomer/1[lk.ijse.dep.DTO.CustomerDTO],false,83,4,7,1,6,1,5,4,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\impl\CustomerBOImpl.java,lk.ijse.dep.Business.impl.CustomerBOImpl,allCustomers/0,false,27,4,4,1,3,1,6,9,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,0,false
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\impl\CustomerBOImpl.java,lk.ijse.dep.Business.impl.CustomerBOImpl,saveCustomer/1[lk.ijse.dep.DTO.CustomerDTO],false,44,5,8,1,7,1,5,6,0,2,1,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,1,0,false
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\impl\CustomerBOImpl.java,lk.ijse.dep.Business.impl.CustomerBOImpl,deleteCustomer/1[java.lang.String],false,53,2,2,0,2,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\impl\CustomerBOImpl.java,lk.ijse.dep.Business.impl.CustomerBOImpl$Anonymous1,apply/1[lk.ijse.dep.Entities.Customer],false,31,2,4,0,4,1,3,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\DAO\CRUDDAO.java,lk.ijse.dep.DAO.CRUDDAO,find/1[ID],false,17,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\DAO\CRUDDAO.java,lk.ijse.dep.DAO.CRUDDAO,delete/1[ID],false,13,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
