file,class,method,variable,usage
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\custom\ItemBO.java,lk.ijse.dep.Business.custom.ItemBO,saveItem/1[lk.ijse.dep.DTO.ItemDTO],itemDTO,0
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\custom\ItemBO.java,lk.ijse.dep.Business.custom.ItemBO,deleteItem/1[java.lang.String],id,0
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\custom\ItemBO.java,lk.ijse.dep.Business.custom.ItemBO,updateItem/1[lk.ijse.dep.DTO.ItemDTO],item,0
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\custom\ItemBO.java,lk.ijse.dep.Business.custom.ItemBO,itemExistsinOrder/1[java.lang.String],id,0
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\impl\CustomerBOImpl.java,lk.ijse.dep.Business.impl.CustomerBOImpl,customerExistsinOrder/1[java.lang.String],orderDetails,1
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\impl\CustomerBOImpl.java,lk.ijse.dep.Business.impl.CustomerBOImpl,customerExistsinOrder/1[java.lang.String],od,2
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\impl\CustomerBOImpl.java,lk.ijse.dep.Business.impl.CustomerBOImpl,customerExistsinOrder/1[java.lang.String],id,1
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\impl\CustomerBOImpl.java,lk.ijse.dep.Business.impl.CustomerBOImpl,customerExistsinOrder/1[java.lang.String],order,1
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\impl\CustomerBOImpl.java,lk.ijse.dep.Business.impl.CustomerBOImpl,updateCustomer/1[lk.ijse.dep.DTO.CustomerDTO],customer,3
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\impl\CustomerBOImpl.java,lk.ijse.dep.Business.impl.CustomerBOImpl,saveCustomer/1[lk.ijse.dep.DTO.CustomerDTO],cusDao,1
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\impl\CustomerBOImpl.java,lk.ijse.dep.Business.impl.CustomerBOImpl,saveCustomer/1[lk.ijse.dep.DTO.CustomerDTO],cusentity,1
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\impl\CustomerBOImpl.java,lk.ijse.dep.Business.impl.CustomerBOImpl,saveCustomer/1[lk.ijse.dep.DTO.CustomerDTO],customer,3
