file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\MYPC\guesthouse-master\guesthouse-master\SQLAdaptor.java,SQLAdaptor,class,3,8,5,3,8,1,0,12,0,0.0,1.0,1.0,2,2,2,0,0,0,2,0,0,0,5,5,0,5,0,0,4,0,10,69,2,0,0,6,0,4,1,19,0,15,2,0,0,0,29,1,0
C:\Users\MYPC\guesthouse-master\guesthouse-master\Chalet.java,Chalet,class,2,3,1,2,8,1,0,11,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,2,0,0,0,0,0,2,44,2,3,1,0,0,8,6,18,2,15,2,0,0,0,47,1,0
C:\Users\MYPC\guesthouse-master\guesthouse-master\Menu1stLevel.java,Menu1stLevel,class,4,5,1,4,9,2,0,4,2,0.5,0.16666667,0.16666667,4,0,0,0,4,0,4,0,0,0,2,1,0,0,0,2,0,0,1,38,0,1,4,0,0,3,1,5,1,5,1,0,1,0,47,1,0
C:\Users\MYPC\guesthouse-master\guesthouse-master\AddMemberMenuCommand.java,AddMemberMenuCommand,class,2,3,1,2,2,1,0,1,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,1,0
C:\Users\MYPC\guesthouse-master\guesthouse-master\GetBookingMenuCommand.java,GetBookingMenuCommand,class,2,3,1,2,2,1,0,1,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,1,0
C:\Users\MYPC\guesthouse-master\guesthouse-master\Menu1stLevel.java,Menu1stLevel$MenuName,enum,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,10,1,0,1,0,0,0,0,23,1,0
C:\Users\MYPC\guesthouse-master\guesthouse-master\MenuRunner.java,MenuRunner,class,1,4,3,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\MYPC\guesthouse-master\guesthouse-master\ChaletBooking.java,ChaletBooking,class,2,7,5,2,23,1,0,17,13,0.7301588,0.14285715,0.14285715,7,0,7,0,0,0,7,0,0,0,9,0,9,0,0,0,0,0,8,132,7,6,4,2,0,19,23,56,3,46,4,0,0,0,88,1,0
C:\Users\MYPC\guesthouse-master\guesthouse-master\AddBookingMenuCommand.java,AddBookingMenuCommand,class,2,3,1,2,2,1,0,1,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,1,0
C:\Users\MYPC\guesthouse-master\guesthouse-master\Command.java,Command,interface,0,7,7,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
