file,class,method,variable,usage
C:\Users\MYPC\guesthouse-master\guesthouse-master\SQLAdaptor.java,SQLAdaptor,"update/2[java.lang.String,java.lang.Object[]]",qRunner,1
C:\Users\MYPC\guesthouse-master\guesthouse-master\SQLAdaptor.java,SQLAdaptor,"update/2[java.lang.String,java.lang.Object[]]",ex,5
C:\Users\MYPC\guesthouse-master\guesthouse-master\SQLAdaptor.java,SQLAdaptor,"update/2[java.lang.String,java.lang.Object[]]",param,1
C:\Users\MYPC\guesthouse-master\guesthouse-master\SQLAdaptor.java,SQLAdaptor,"update/2[java.lang.String,java.lang.Object[]]",e,2
C:\Users\MYPC\guesthouse-master\guesthouse-master\SQLAdaptor.java,SQLAdaptor,"update/2[java.lang.String,java.lang.Object[]]",lgr,5
C:\Users\MYPC\guesthouse-master\guesthouse-master\SQLAdaptor.java,SQLAdaptor,"update/2[java.lang.String,java.lang.Object[]]",sql,2
C:\Users\MYPC\guesthouse-master\guesthouse-master\SQLAdaptor.java,SQLAdaptor,"update/2[java.lang.String,java.lang.Object[]]",status,2
C:\Users\MYPC\guesthouse-master\guesthouse-master\SQLAdaptor.java,SQLAdaptor,"query/2[java.lang.String,java.lang.Object[]]",result,2
C:\Users\MYPC\guesthouse-master\guesthouse-master\SQLAdaptor.java,SQLAdaptor,"query/2[java.lang.String,java.lang.Object[]]",qRunner,1
C:\Users\MYPC\guesthouse-master\guesthouse-master\SQLAdaptor.java,SQLAdaptor,"query/2[java.lang.String,java.lang.Object[]]",ex,5
C:\Users\MYPC\guesthouse-master\guesthouse-master\SQLAdaptor.java,SQLAdaptor,"query/2[java.lang.String,java.lang.Object[]]",param,1
C:\Users\MYPC\guesthouse-master\guesthouse-master\SQLAdaptor.java,SQLAdaptor,"query/2[java.lang.String,java.lang.Object[]]",e,2
C:\Users\MYPC\guesthouse-master\guesthouse-master\SQLAdaptor.java,SQLAdaptor,"query/2[java.lang.String,java.lang.Object[]]",lgr,5
C:\Users\MYPC\guesthouse-master\guesthouse-master\SQLAdaptor.java,SQLAdaptor,"query/2[java.lang.String,java.lang.Object[]]",sql,2
C:\Users\MYPC\guesthouse-master\guesthouse-master\Chalet.java,Chalet,"Chalet/2[java.lang.String,java.math.BigDecimal]",rate,1
C:\Users\MYPC\guesthouse-master\guesthouse-master\Chalet.java,Chalet,"Chalet/2[java.lang.String,java.math.BigDecimal]",nm,1
C:\Users\MYPC\guesthouse-master\guesthouse-master\Chalet.java,Chalet,getChalet/1[java.lang.String],arrList,2
C:\Users\MYPC\guesthouse-master\guesthouse-master\Chalet.java,Chalet,getChalet/1[java.lang.String],iterator,3
C:\Users\MYPC\guesthouse-master\guesthouse-master\Chalet.java,Chalet,getChalet/1[java.lang.String],temp,5
C:\Users\MYPC\guesthouse-master\guesthouse-master\Chalet.java,Chalet,getChalet/1[java.lang.String],sqlQuery,1
C:\Users\MYPC\guesthouse-master\guesthouse-master\Chalet.java,Chalet,getChalet/1[java.lang.String],cList,2
C:\Users\MYPC\guesthouse-master\guesthouse-master\Chalet.java,Chalet,getChalet/1[java.lang.String],sqlParam,1
C:\Users\MYPC\guesthouse-master\guesthouse-master\Chalet.java,Chalet,getChalet/1[java.lang.String],i,4
C:\Users\MYPC\guesthouse-master\guesthouse-master\Chalet.java,Chalet,getChalet/1[java.lang.String],nm,1
C:\Users\MYPC\guesthouse-master\guesthouse-master\Chalet.java,Chalet,"setChalet/2[java.lang.String,java.math.BigDecimal]",stat,1
C:\Users\MYPC\guesthouse-master\guesthouse-master\Chalet.java,Chalet,"setChalet/2[java.lang.String,java.math.BigDecimal]",rate,1
C:\Users\MYPC\guesthouse-master\guesthouse-master\Chalet.java,Chalet,"setChalet/2[java.lang.String,java.math.BigDecimal]",stringOfQnMark,3
C:\Users\MYPC\guesthouse-master\guesthouse-master\Chalet.java,Chalet,"setChalet/2[java.lang.String,java.math.BigDecimal]",sqlParam,2
