file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,class,3,6,3,3,11,6,0,40,6,0.75,0.0,0.0,4,1,2,2,0,0,2,0,0,0,19,0,0,19,0,0,0,0,10,131,0,1,0,1,0,24,68,24,0,24,3,2,0,0,88,1,0
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\ViewAllCustomers.java,com.thogakade.inventory.ViewAllCustomers$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\db\DBConnection.java,com.thogakade.db.DBConnection,class,3,5,2,3,4,1,0,1,1,0.5555556,0.0,0.0,3,1,2,1,0,0,2,0,0,0,3,1,0,3,0,0,0,0,0,18,2,0,1,0,0,2,1,3,0,3,1,0,0,0,16,1,0
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\UpdateCustomer.java,com.thogakade.inventory.UpdateCustomer,class,3,8,5,3,15,6,0,48,19,0.80952364,0.0,0.0,7,1,2,5,0,0,2,0,0,0,21,0,0,21,0,0,0,0,12,165,0,1,1,1,0,27,73,26,0,26,3,4,0,0,92,1,0
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\SearchCustomer.java,com.thogakade.inventory.SearchCustomer,class,3,7,4,3,13,6,0,47,13,0.78070176,0.0,0.0,6,1,2,4,0,0,2,0,0,0,19,0,0,19,0,0,0,0,9,143,0,1,1,1,0,21,61,22,0,22,3,3,0,0,89,1,0
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\DeleteCustomer.java,com.thogakade.inventory.DeleteCustomer$Anonymous4,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\DeleteCustomer.java,com.thogakade.inventory.DeleteCustomer$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\DeleteCustomer.java,com.thogakade.inventory.DeleteCustomer$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\UpdateCustomer.java,com.thogakade.inventory.UpdateCustomer$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\DeleteCustomer.java,com.thogakade.inventory.DeleteCustomer$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
