file,class,method,variable,usage
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,initComponents/0,jLabel3,5
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,initComponents/0,jLabel2,5
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,initComponents/0,landText,3
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,initComponents/0,jLabel5,5
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,initComponents/0,jLabel4,5
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,initComponents/0,jLabel7,5
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,initComponents/0,jLabel6,5
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,initComponents/0,jLabel8,5
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,initComponents/0,addressText,3
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,initComponents/0,addButton,5
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,initComponents/0,nameText,3
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,initComponents/0,jLabel1,5
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,initComponents/0,cancelButton,4
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,initComponents/0,storenameText,3
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,initComponents/0,jPanel1,6
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,initComponents/0,jPanel2,5
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,initComponents/0,mobileText,3
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,initComponents/0,idText,3
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,initComponents/0,cityText,3
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,addButtonActionPerformed/1[java.awt.event.ActionEvent],landText,2
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,addButtonActionPerformed/1[java.awt.event.ActionEvent],storenameText,2
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,addButtonActionPerformed/1[java.awt.event.ActionEvent],addressText,2
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,addButtonActionPerformed/1[java.awt.event.ActionEvent],mobileText,2
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,addButtonActionPerformed/1[java.awt.event.ActionEvent],nameText,2
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,addButtonActionPerformed/1[java.awt.event.ActionEvent],idText,3
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,addButtonActionPerformed/1[java.awt.event.ActionEvent],cityText,2
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\db\DBConnection.java,com.thogakade.db.DBConnection,getDB/0,db,1
