file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,initComponents/0,false,33,0,2,1,1,1,24,60,0,3,0,24,0,0,0,0,0,0,19,66,22,0,0,1,0,0,64,2,0,true
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,addButtonActionPerformed/1[java.awt.event.ActionEvent],false,196,2,3,1,2,2,5,18,0,2,1,5,0,0,0,0,0,0,4,2,2,0,1,0,0,0,9,2,0,false
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,AddCustomer/0,true,21,1,2,1,1,1,2,4,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,main/1[java.lang.String[]],false,217,1,1,0,1,7,9,28,0,0,1,9,0,0,1,0,1,0,1,0,0,0,3,1,0,0,20,9,0,true
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\ViewAllCustomers.java,com.thogakade.inventory.ViewAllCustomers$Anonymous1,run/0,false,148,1,6,0,6,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\db\DBConnection.java,com.thogakade.db.DBConnection,getDB/0,false,34,1,5,5,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\db\DBConnection.java,com.thogakade.db.DBConnection,DBConnection/0,true,22,1,1,1,0,1,1,4,0,0,0,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0,10,2,0,false
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\db\DBConnection.java,com.thogakade.db.DBConnection,getInstance/0,false,27,1,6,5,1,2,0,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,10,9,0,false
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\UpdateCustomer.java,com.thogakade.inventory.UpdateCustomer,main/1[java.lang.String[]],false,237,1,1,0,1,7,9,28,0,0,1,9,0,0,1,0,1,0,1,0,0,0,3,1,0,0,20,9,0,true
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\UpdateCustomer.java,com.thogakade.inventory.UpdateCustomer,updateButtonActionPerformed/1[java.awt.event.ActionEvent],false,216,2,3,1,2,2,3,10,0,2,1,3,0,0,0,0,0,0,4,2,2,0,1,0,0,0,8,2,0,false
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\UpdateCustomer.java,com.thogakade.inventory.UpdateCustomer,initComponents/0,false,35,0,2,1,1,1,25,74,0,3,0,25,0,0,0,0,0,0,20,70,23,0,0,3,0,0,65,2,0,true
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\UpdateCustomer.java,com.thogakade.inventory.UpdateCustomer,UpdateCustomer/0,true,23,1,2,1,1,1,2,4,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\UpdateCustomer.java,com.thogakade.inventory.UpdateCustomer,searchButtonActionPerformed/1[java.awt.event.ActionEvent],false,226,1,2,1,1,1,2,3,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,false
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\UpdateCustomer.java,com.thogakade.inventory.UpdateCustomer,searchCustomers/1[java.lang.String],false,293,2,9,2,7,2,10,20,0,0,1,10,0,0,0,1,0,0,2,1,1,0,1,0,0,0,7,2,0,false
