file,class,method,variable,usage
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,initComponents/0,layout,6
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,initComponents/0,jPanel2Layout,18
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,initComponents/0,jPanel1Layout,7
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,addButtonActionPerformed/1[java.awt.event.ActionEvent],addCustomer,2
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,addButtonActionPerformed/1[java.awt.event.ActionEvent],evt,0
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,addButtonActionPerformed/1[java.awt.event.ActionEvent],customer,1
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,main/1[java.lang.String[]],args,0
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,main/1[java.lang.String[]],ex,7
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\AddCustomer.java,com.thogakade.inventory.AddCustomer,main/1[java.lang.String[]],info,2
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\UpdateCustomer.java,com.thogakade.inventory.UpdateCustomer,main/1[java.lang.String[]],args,0
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\UpdateCustomer.java,com.thogakade.inventory.UpdateCustomer,main/1[java.lang.String[]],ex,7
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\UpdateCustomer.java,com.thogakade.inventory.UpdateCustomer,main/1[java.lang.String[]],info,2
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\UpdateCustomer.java,com.thogakade.inventory.UpdateCustomer,updateButtonActionPerformed/1[java.awt.event.ActionEvent],evt,0
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\UpdateCustomer.java,com.thogakade.inventory.UpdateCustomer,updateButtonActionPerformed/1[java.awt.event.ActionEvent],updateCustomer,2
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\UpdateCustomer.java,com.thogakade.inventory.UpdateCustomer,updateButtonActionPerformed/1[java.awt.event.ActionEvent],customer,1
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\UpdateCustomer.java,com.thogakade.inventory.UpdateCustomer,initComponents/0,layout,6
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\UpdateCustomer.java,com.thogakade.inventory.UpdateCustomer,initComponents/0,jPanel2Layout,19
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\UpdateCustomer.java,com.thogakade.inventory.UpdateCustomer,initComponents/0,jPanel1Layout,7
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\UpdateCustomer.java,com.thogakade.inventory.UpdateCustomer,searchButtonActionPerformed/1[java.awt.event.ActionEvent],evt,0
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\UpdateCustomer.java,com.thogakade.inventory.UpdateCustomer,searchCustomers/1[java.lang.String],id,0
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\UpdateCustomer.java,com.thogakade.inventory.UpdateCustomer,idTextActionPerformed/1[java.awt.event.ActionEvent],evt,0
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\SearchCustomer.java,com.thogakade.inventory.SearchCustomer,searchButtonActionPerformed/1[java.awt.event.ActionEvent],evt,0
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\SearchCustomer.java,com.thogakade.inventory.SearchCustomer,main/1[java.lang.String[]],args,0
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\SearchCustomer.java,com.thogakade.inventory.SearchCustomer,main/1[java.lang.String[]],ex,7
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\SearchCustomer.java,com.thogakade.inventory.SearchCustomer,main/1[java.lang.String[]],info,2
C:\Users\MYPC\mongo_inventory-master\mongo_inventory-master\src\main\java\com\thogakade\inventory\SearchCustomer.java,com.thogakade.inventory.SearchCustomer,initComponents/0,layout,6
